T2M,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
23.7,9.55,29.12,19.56,13.79,77.12,0,100.81,2.86,4.39,1.82,2.58,144.75,3.68,5.45,2.39,3.05,145.25
23.86,8.63,28.87,20.24,14.4,79.69,0,100.79,2.7,4.55,1.64,2.9,131.44,3.54,5.65,1.78,3.87,131.62
24.03,7.94,28.81,20.87,14.89,81.38,0,100.83,3.35,5.51,1.9,3.62,69,4.27,6.16,2.5,3.66,68.62
23.68,6.39,27.12,20.73,14.65,81.31,0.01,100.81,3.61,4.96,2.59,2.38,61.44,4.85,6.41,3.54,2.88,61.19
24.39,6.73,28.17,21.44,15.01,80,0,100.93,4.19,5.97,2.8,3.16,59.75,5.46,6.76,4.35,2.41,59.69
24.83,7.62,29.16,21.54,14.71,76.56,0,100.96,4.14,6.08,2.85,3.22,52.69,5.48,6.9,4.3,2.6,52.19
24.93,8.27,29.6,21.33,14.89,77.31,0,100.79,4.14,6.54,2.72,3.83,54.12,5.35,7.4,3.91,3.49,53.44
24.77,8.23,29.7,21.48,14.53,76.5,0,100.69,3.14,4.11,2.66,1.45,76.88,4.11,5.18,3.45,1.73,76.62
24.31,7.98,29.23,21.25,14.53,78.69,0,100.64,2.84,3.99,1.06,2.93,134.5,3.69,5.2,1.35,3.85,134.88
25.1,11.02,31.42,20.4,14.04,73.69,0,100.57,3.1,4.22,2.22,2,154,4.22,7.11,2.72,4.38,155.06
25.1,9.52,30.86,21.33,14.16,73.81,0,100.54,2.69,4.49,0.86,3.64,135.88,3.59,5.84,0.93,4.91,136.44
25.04,9.97,30.76,20.79,14.22,74.31,0,100.57,3.06,5.08,1.95,3.13,134.62,3.98,6.9,2.07,4.83,135.31
24.5,9.45,30.07,20.62,13.98,75.19,0,100.55,2.84,4.59,1.62,2.98,141.44,3.69,6.34,1.66,4.7,141.25
24.51,10.44,30.8,20.36,13.24,72.12,0,100.61,2.61,4.76,0.98,3.78,131.81,3.45,6.52,1.29,5.24,131.25
24.38,10.75,30.59,19.85,13.43,73.38,0,100.63,3.34,4.82,2.4,2.41,153,4.29,5.91,3.46,2.45,153.56
24.33,11.59,31.08,19.48,12.08,67.94,0,100.72,2.7,4.46,1.52,2.95,148.31,3.44,5.53,1.62,3.91,147.44
23.94,11.92,30.51,18.58,11.54,66.19,0.06,100.79,2.83,4.31,1.91,2.41,150.19,3.55,4.7,2.48,2.23,150.38
24.03,12.52,30.69,18.18,11.66,65.94,0,100.72,3.08,5.19,1.24,3.95,157.06,3.8,5.56,1.62,3.94,157.06
24.65,12.69,31.48,18.79,11.72,64.38,0,100.74,2.8,4.12,1.31,2.81,154.19,3.48,4.59,1.71,2.88,153
25.05,12.43,31.94,19.51,12.33,66.06,0.6,100.73,2.84,4.62,0.96,3.67,143.5,3.6,5.37,0.95,4.41,142.19
24.81,10.73,30.85,20.12,13.79,73.38,0,100.63,2.9,5.67,0.4,5.27,116.88,3.71,6.24,0.66,5.58,117.5
