QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,T2M,T2M_RANGE,T2M_MAX,T2M_MIN
1.83,94.88,0.44,100.05,9.16,11.2,6.36,4.85,207.31,11.74,13.56,8.32,5.24,208.44,-8.17,9.41,-5.98,-15.38
1.4,98.12,0.05,99.61,5.57,6.74,3.86,2.88,194.94,7.41,9,5.6,3.4,195.44,-11.66,4.59,-9.29,-13.88
1.71,97.62,0.32,99.55,5.26,6.45,3.68,2.77,171.62,7.4,8.92,4.95,3.97,172.38,-9.85,10.49,-4.89,-15.38
2.2,95.44,0.29,99.97,5.7,7.51,3.36,4.15,178.81,8.34,10.82,5.04,5.77,179.31,-6.06,3.24,-4.51,-7.74
2.01,91.38,2.81,100.24,8.77,10.12,7.78,2.35,190,11.46,13.38,10.56,2.81,191.06,-6.61,5.36,-3.24,-8.6
2.14,94.44,0.77,100.33,6.88,9.11,4.27,4.84,248.44,9.84,11.18,7.51,3.67,249.31,-6.63,11.41,-2.25,-13.67
1.71,96.44,1,101.41,4.29,5.03,3.27,1.76,233.19,6.31,7.52,3.66,3.86,233.62,-9.13,7.24,-5.76,-13
2.14,95.56,0.26,101.39,5.19,6.54,4.44,2.1,238.06,7.77,8.68,6.78,1.91,238.56,-6.47,6.43,-2.32,-8.75
1.59,97.12,0.11,100.87,4.45,5.5,2.55,2.95,217.25,6.26,8.18,4.2,3.97,217.56,-10.14,8.82,-5.7,-14.52
1.34,97.94,0.15,100.06,2.7,4.42,0.87,3.55,107.31,4.08,7.1,1.21,5.88,107.38,-12.07,6.73,-8.63,-15.36
0.92,96.25,0.04,100.07,5.21,6.06,4.6,1.47,57.25,7.59,9.91,6.09,3.81,57.44,-15.94,11.76,-11.21,-22.96
0.43,97.12,0.04,100.18,6.05,7.57,4.37,3.21,50.44,8.16,10.44,6.06,4.38,51,-23.66,8.67,-19.55,-28.22
0.43,96.44,0.02,100.38,5.11,6.82,3.41,3.41,38.69,7.12,8.83,5.32,3.51,39.25,-24.24,10.81,-16.81,-27.63
0.43,96.81,0.11,100.59,2.25,3.56,1.11,2.45,47,3.16,5.45,1.19,4.27,47.06,-24.52,11.98,-18.02,-29.99
0.55,95.81,0.46,100.7,3.99,5.29,2.3,2.99,209.62,5.33,6.48,3.44,3.04,209.94,-21.59,9.49,-17.06,-26.55
0.49,95.81,0.17,101.52,1.8,2.95,0.55,2.39,219.62,2.33,3.35,0.72,2.64,219.56,-23.02,8.07,-18.92,-26.99
0.49,95.69,0.34,101.71,1.93,2.75,0.6,2.15,259.19,2.59,4.3,0.78,3.51,259.25,-22.78,7.9,-18.67,-26.56
0.85,96.69,3.51,100.82,8.13,12.12,2.63,9.48,214.44,10.1,14.7,4.63,10.07,215.5,-17.04,10.89,-11.77,-22.66
1.28,96.88,1.3,100.18,5.45,7.72,3.31,4.41,247.06,7.39,10.34,5.56,4.77,247.69,-12.27,4.77,-10.64,-15.42
0.67,96.94,0.44,101.06,4.84,7.66,2.38,5.27,339.38,6.66,9.09,4.25,4.83,339.62,-19.27,8.93,-16.19,-25.12
0.49,97.06,0.44,102.09,5.18,7.84,2.43,5.41,273.38,7.1,9.09,4.14,4.95,274.06,-22.93,7.63,-18.97,-26.6
0.67,97.31,0.43,102.74,4.78,6.7,2.98,3.72,254.94,6.38,7.81,5.16,2.66,255.75,-19.72,10.94,-14.56,-25.5
0.85,98.19,0.76,102.98,2.84,3.27,1.99,1.28,226.81,4.32,5.88,3.09,2.78,227.12,-16.63,7.02,-12.72,-19.74
0.92,98,1.28,102.4,3.9,5.08,2.69,2.39,233.88,5.89,7.71,4.57,3.15,234.19,-16.06,7.62,-11.7,-19.33
0.92,97.94,1.8,101.7,3.87,5.15,2.27,2.88,236.44,5.37,6.82,3.9,2.93,237.12,-15.6,6.2,-13.14,-19.34
0.67,96.12,0.08,101.76,3.16,5.87,1.44,4.42,235.69,4.71,8.7,1.91,6.78,235.75,-19.39,10.81,-12.85,-23.67
0.67,96.69,0.79,101.16,4.41,6.05,1.83,4.23,245,5.44,7.18,2.6,4.58,245.75,-18.96,6.04,-15.36,-21.4
0.61,96.06,0.38,100.55,4.02,6.52,0.22,6.3,206.06,5.48,9.09,0.27,8.82,206.56,-20.29,7.8,-16.35,-24.16
0.98,94.12,4.22,99.52,9.62,11.3,6.8,4.51,220.56,11.84,14.27,8.49,5.77,222,-15.71,10.2,-10.12,-20.32
1.22,93.56,2.5,100.45,8.18,10.34,6.18,4.16,247.69,10.55,12.45,7.34,5.12,248.69,-13.11,13.59,-8.25,-21.84
1.71,94.75,0.23,101.04,8.09,9.55,5.87,3.69,235.19,10.3,12.05,8.23,3.81,236.25,-8.77,4.24,-6.49,-10.74
1.59,95.88,0.21,101.32,6.38,7.98,3.46,4.52,217.88,8.69,10.41,6.26,4.16,218.5,-9.77,5.82,-6.22,-12.04
2.01,94.19,3.14,100.07,7.14,8.93,5.49,3.43,167.75,8.98,11.45,6.63,4.81,168.75,-7.24,11.79,-2.2,-13.99
2.2,92.81,2.92,100.06,9.8,12.46,7.34,5.12,243.06,12.28,14.74,9.66,5.09,244.12,-6.07,7.27,-1.09,-8.36
2.32,94.88,3.79,100.55,8.41,10.33,6.48,3.85,219.06,10.65,12.91,8.45,4.47,220.19,-5.48,5.84,-2.61,-8.45
3.11,94.69,2.26,99.48,7.77,14.28,5.83,8.45,200.94,9.76,17.91,7.03,10.88,202.06,-1.77,3.38,-0.24,-3.63
1.83,89.31,0.38,99.63,10.92,15.69,5.95,9.73,236.12,13.91,19.53,8.3,11.23,237.12,-7.47,6.38,-3.18,-9.56
1.95,94,0.84,99.55,5.43,7.46,1.98,5.48,209.56,7.52,10.15,3.5,6.65,210.12,-7.38,4.09,-5.54,-9.63
2.26,95.06,6.82,98.71,6.66,9.2,4.07,5.12,212.62,8.66,11.4,5.04,6.37,213.88,-6.4,15.09,-1.52,-16.61
1.34,94,0.02,100.35,7.98,9.91,4.76,5.16,179.62,10.16,12.8,7.06,5.73,180.56,-12.2,13.78,-6.22,-20
2.69,92.75,0.41,99.28,6.62,10.77,3.05,7.72,188.94,8.8,13.84,4.29,9.55,189.88,-3.83,9.32,0.15,-9.17
3.54,90.31,0.78,98.78,8.75,11.73,4.19,7.55,190.12,12.02,15.3,7.64,7.66,191.31,0.32,5.27,1.69,-3.57
1.83,89.06,0.39,99.78,7.41,8.56,6.07,2.49,286.5,9.12,10.58,7.87,2.71,286.69,-8.25,18.33,0.17,-18.16
0.61,86.5,0.01,101.95,2.64,5.34,1.62,3.72,298.75,3.66,7.75,2.54,5.2,298.69,-18.92,10.52,-13.67,-24.18
0.73,84.38,0.12,101.45,1.38,2.83,0.55,2.28,168.12,1.81,4.07,0.62,3.46,168.44,-17.26,15.33,-9.51,-24.85
1.28,93.75,0,100.04,3.69,4.42,3.16,1.27,93.5,5.58,7.66,3.42,4.23,93.94,-12.95,16.83,-5.2,-22.02
2.56,96.56,3.28,99.49,3.23,5.09,1.59,3.5,163.12,4.72,7.68,2.13,5.55,163.25,-4.83,9.92,-0.82,-10.74
2.2,92.88,1.53,99.79,7.99,9.36,5.2,4.16,234.25,10.27,11.78,7.52,4.27,235.12,-5.74,5.62,-3.18,-8.81
1.65,92.31,0.2,100.56,5.1,6.6,3.68,2.93,278.19,7.52,8.11,6.73,1.38,278.75,-8.73,4.68,-6.26,-10.95
1.46,91.94,0.01,101.66,4.16,5.15,3.1,2.05,243.12,6.45,8.64,3.44,5.2,243.5,-10.54,14.94,-4.29,-19.23
2.32,88.88,0.01,100.41,7.58,9.17,5.01,4.16,158,9.77,11.71,7.48,4.23,158.62,-5.05,10.8,-0.19,-10.99
3.11,92.06,0.34,99.32,5.66,7.73,3.85,3.88,237.81,7.73,10.13,6.73,3.4,238.56,-1.64,4.22,0.07,-4.15
2.87,91.62,1,100.09,5.85,8.64,2.77,5.88,267.5,7.87,10.79,4.93,5.86,268.06,-2.47,5.59,-0.06,-5.65
3.48,95.62,2.96,100.33,5.68,9.13,4.21,4.92,249.88,7.44,11.41,5.21,6.2,250.75,-0.58,2.91,0.46,-2.45
3.17,94.94,0.58,100.46,4.49,5.23,3.46,1.77,219.38,6.55,7.87,5.56,2.3,219.75,-1.66,5.33,0.94,-4.39
3.11,93.31,0,99.91,4.85,5.93,4.24,1.69,141.62,7.83,8.95,5.27,3.68,141.88,-1.91,7.48,1.05,-6.42
3.17,91.81,0.05,99.24,2.75,4.55,1.61,2.95,163.75,4.27,8.19,2.36,5.83,164.19,-1.27,7.64,1.78,-5.86
3.42,95.75,0.18,99.76,3.18,3.73,2.35,1.38,253.44,5.23,6.35,3.29,3.06,253.69,-0.77,4.41,0.84,-3.56
3.48,95.62,3.55,100.14,2.91,4.7,1.36,3.34,98.5,4.44,6.93,1.88,5.06,98.56,-0.61,2.82,0.51,-2.31
3.3,94.44,3.15,100.16,3.93,4.77,2.61,2.16,183.25,5.66,7.41,3.02,4.38,183.56,-1.17,4.95,0.4,-4.56
3.3,97.19,2.09,99.77,2.93,4.09,1.98,2.11,239,4.54,5.87,3.34,2.53,239.5,-1.51,6.18,0.68,-5.5
2.01,82.81,0.06,100.02,4.02,6.81,0.94,5.88,88.94,4.83,8.48,1.22,7.26,89.25,-5.62,6.76,-2.19,-8.95
2.01,83.56,1.01,99.85,2.38,3.21,1.51,1.7,228.62,3.3,5.58,2.18,3.4,228.94,-5.51,11.92,-0.59,-12.51
3.23,92.5,4.17,98.99,7.34,9.62,3.47,6.16,206.19,9.52,12.11,5.91,6.2,207.19,-1.15,5.33,1.08,-4.25
2.99,90.69,0.93,99.69,4.55,6.29,2.7,3.58,249.25,6.38,7.71,4.7,3.02,249.88,-1.67,6.53,1.04,-5.49
2.38,76.44,0.23,100.31,2.06,3.55,0.4,3.15,298.19,2.77,5.48,0.58,4.9,297,-2.2,6.89,0.3,-6.59
2.44,69.69,0.24,101.02,1.38,3.57,0.35,3.21,160.25,1.98,5.8,0.49,5.3,159.81,-0.75,7.95,2.86,-5.1
2.69,79.12,0,100.88,4.74,5.77,3.2,2.59,133.44,7,9.71,5.12,4.59,134.06,-0.76,12.2,5.14,-7.06
3.42,76.06,1.96,99.61,6.53,7.88,4.87,3.01,141.88,9.06,11.46,6.5,4.96,143.31,2.66,13.51,9.69,-3.81
3.48,69.62,0.53,99.57,8.54,12.72,5.43,7.29,211.56,11.38,15.8,8.03,7.77,212.31,4.13,9.66,8.69,-0.98
2.38,65.19,0.09,100.23,7.91,9.8,5.42,4.38,220.06,10.32,11.45,8.91,2.54,220.62,-0.16,5.72,3.04,-2.69
3.05,75.5,1.67,99.55,7.83,11.68,3.27,8.41,198.88,10.34,14.3,5.9,8.4,199.88,0.8,5.7,3.49,-2.2
