QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,T2M,T2M_RANGE,T2M_MAX,T2M_MIN
1.95,84.56,5.15,96.1,3.66,5.33,1.73,3.59,204.19,6.18,9.23,2.56,6.66,206.56,-7.83,14.43,-2.28,-16.7
4.33,96.19,30.43,94.22,5.84,7.44,3.92,3.52,206.12,10.33,13.52,7.4,6.12,208.81,1.03,12.48,6.48,-6
1.1,72.19,0.11,95.08,4.34,5.11,3.39,1.72,274.69,7.12,8.35,5.74,2.61,274.12,-11.39,8.64,-6.78,-15.43
0.85,79.12,0.15,95.54,1.92,3.3,1.04,2.26,248.44,3.33,5.51,2.18,3.34,249.06,-14.94,3.28,-12.96,-16.24
0.79,81.88,0.16,96.05,2.56,3.9,1.04,2.86,277.31,4.46,6.23,2.22,4.01,277.81,-16.43,5.66,-13.97,-19.63
1.22,90.5,0.37,95.96,2.29,3.58,1.5,2.08,207.62,4.28,5.7,2.64,3.07,209.75,-13.1,9.28,-9.17,-18.45
1.77,88.44,0.25,95.85,2.27,3.62,1.28,2.34,226.81,4.62,5.75,2.93,2.81,227.44,-8.07,8.22,-4.01,-12.23
2.81,99.12,14.61,94.58,1.81,2.7,0.35,2.34,120.44,3.12,4.45,0.58,3.88,120.81,-4.54,7.01,-1.29,-8.3
2.01,95.31,2.9,94.79,4.71,6.55,0.96,5.6,278.56,7.91,10.45,2,8.45,280.06,-7.89,6.19,-5.13,-11.31
2.01,94.94,2.73,97.15,3.2,5.75,1.75,4,193.31,5.62,9.14,3.09,6.05,195.25,-7.53,9.18,-3.62,-12.8
5.37,99.25,26.54,95.59,7.43,9.2,5.95,3.25,167.31,12.6,15.33,9.48,5.85,170.5,3.38,16.49,11.85,-4.64
1.04,68.69,1.44,96.91,6.52,9.03,1.64,7.38,289.88,10.47,14.27,3.77,10.5,289.06,-12.37,13.95,-2.77,-16.72
0.98,80.31,0,98.48,1.72,2.59,1.16,1.44,251.25,3.16,4.29,1.82,2.48,251.69,-13.16,11.91,-6.24,-18.16
1.59,88.31,0.03,97.73,2.48,3.86,1.68,2.18,270.75,4.73,6.16,2.38,3.79,271.69,-9.56,12.73,-3.39,-16.11
1.65,80.25,0.11,97.66,1.9,2.7,0.53,2.16,213.94,3.8,6.19,0.84,5.34,215.12,-7.44,12.45,-0.53,-12.98
3.36,89.19,0.05,96.72,2.73,3.65,2.04,1.61,225.56,5.39,7.09,3.71,3.38,226.69,-0.81,15.33,7.29,-8.04
4.58,94.25,0.24,96.16,3.3,4.48,2.29,2.19,252.75,6.36,7.31,5.45,1.87,254,2.32,8.18,7.46,-0.72
