,MAE,MSE,RMSE,R2,RMSLE,MAPE
Fold,,,,,,
0,0.2253,0.0942,0.3068,0.9992,0.0617,0.0954
1,0.2162,0.0882,0.297,0.9993,0.0587,0.0863
2,0.2116,0.0788,0.2806,0.9994,0.0641,0.0809
3,0.2116,0.0819,0.2861,0.9993,0.0514,0.0635
4,0.2178,0.0844,0.2905,0.9993,0.0599,0.1391
5,0.2104,0.0787,0.2805,0.9994,0.0542,0.1244
6,0.221,0.0865,0.2942,0.9993,0.0611,0.0982
7,0.231,0.0891,0.2985,0.9993,0.063,0.0814
8,0.21,0.0743,0.2726,0.9994,0.0587,0.1071
9,0.2242,0.0904,0.3006,0.9993,0.0662,0.1029
Mean,0.2179,0.0846,0.2907,0.9993,0.0599,0.0979
Std,0.0069,0.0059,0.0101,0,0.0042,0.021
