,MAE,MSE,RMSE,R2,RMSLE,MAPE
Fold,,,,,,
0,0.253,0.1323,0.3637,0.9989,0.0653,0.1178
1,0.2316,0.0966,0.3108,0.9993,0.0613,0.1104
2,0.2334,0.0997,0.3157,0.9992,0.0693,0.0879
3,0.2278,0.0948,0.308,0.9992,0.0533,0.0639
4,0.2421,0.1226,0.3501,0.999,0.0676,0.1447
5,0.2628,0.1283,0.3582,0.999,0.0701,0.1662
6,0.2473,0.1063,0.3261,0.9991,0.0656,0.122
7,0.2506,0.1226,0.3502,0.999,0.0707,0.1036
8,0.2442,0.1152,0.3393,0.999,0.0638,0.1084
9,0.2532,0.1296,0.36,0.999,0.0747,0.1105
Mean,0.2446,0.1148,0.3382,0.9991,0.0662,0.1135
Std,0.0105,0.0136,0.0203,0.0001,0.0056,0.0267
